item_#,strUC,common_name,scientific_name,doi,url,editors,reviewer,start_date,end_date,publication_date
59f5e299e4b063d5d307df89,aGCTOx,Gulf Coast Toad,Ollotis nebulifer,https://doi.org/10.5066/F7ZP459T,https://www.sciencebase.gov/catalog/item/59f5e299e4b063d5d307df89,['Ken Boykin'],Jeff Lonneker,2008,2015,2018-07
59f5e225e4b063d5d307dce5,aGESAx,Georgetown Salamander,Eurycea naufragia,https://doi.org/10.5066/F72Z14J3,https://www.sciencebase.gov/catalog/item/59f5e225e4b063d5d307dce5,['Ken Boykin'],Steve Williams,2008,2016,2018-07
59f5ec6ce4b063d5d307e6f1,aGGSAx,Gregarious Salamander,Batrachoseps gregarius,https://doi.org/10.5066/F7P55MJ2,https://www.sciencebase.gov/catalog/item/59f5ec6ce4b063d5d307e6f1,['Ken Boykin'],Jeff Lonneker,2008,2016,2018-07
59f5ebaae4b063d5d307e075,aGHFRx,Greenhouse Frog,Eleutherodactylus planirostris,https://doi.org/10.5066/F70C4TTM,https://www.sciencebase.gov/catalog/item/59f5ebaae4b063d5d307e075,['Adam Radel'],Jeff Lonneker,2008,2013,2018-07
59f5ebe1e4b063d5d307e221,aGMSSx,Gabilan Mountains Slender Salamander,Batrachoseps gavilanensis,https://doi.org/10.5066/F74748ZN,https://www.sciencebase.gov/catalog/item/59f5ebe1e4b063d5d307e221,['Ken Boykin'],Jeff Lonneker,2008,2016,2018-07
59f5e298e4b063d5d307df83,aGOFRx,Gopher Frog,Lithobates capito,https://doi.org/10.5066/F70G3J8S,https://www.sciencebase.gov/catalog/item/59f5e298e4b063d5d307df83,['Adam Radel'],Jeff Lonneker,2008,2013,2018-07
59f5e2a2e4b063d5d307dfbd,aGPTOx,Great Plains Toad,Anaxyrus cognatus,https://doi.org/10.5066/F7T43S6S,https://www.sciencebase.gov/catalog/item/59f5e2a2e4b063d5d307dfbd,['Ken Boykin'],Jeff Lonneker,2008,2015,2018-07
59f5e22fe4b063d5d307dd1f,aGRFRx,Green Frog,Lithobates clamitans,https://doi.org/10.5066/F7QF8RVZ,https://www.sciencebase.gov/catalog/item/59f5e22fe4b063d5d307dd1f,['Ken Boykin'],Jeff Lonneker,2008,2015,2018-07
59f5e25ae4b063d5d307de23,aGRSAx,Green Salamander,Aneides aeneus,https://doi.org/10.5066/F7PC31GF,https://www.sciencebase.gov/catalog/item/59f5e25ae4b063d5d307de23,['Matthew Rubino'],Steve Williams,2008,2016,2018-07
59f5ebbfe4b063d5d307e131,aGRSIx,Greater Siren,Siren lacertina,https://doi.org/10.5066/F78W3CG1,https://www.sciencebase.gov/catalog/item/59f5ebbfe4b063d5d307e131,['Matthew Rubino'],Steve Williams,2008,2016,2018-07
59f5e26ee4b063d5d307de95,aGRTOx,Green Toad,Anaxyrus debilis,https://doi.org/10.5066/F76D5S4T,https://www.sciencebase.gov/catalog/item/59f5e26ee4b063d5d307de95,['Ken Boykin'],Jeff Lonneker,2008,2015,2018-07
59f5e1c7e4b063d5d307dad9,aGRTRx,Green Treefrog,Hyla cinerea,https://doi.org/10.5066/F7QR4W4S,https://www.sciencebase.gov/catalog/item/59f5e1c7e4b063d5d307dad9,['Ken Boykin'],Jeff Lonneker,2008,2015,2018-07
59f5e27ee4b063d5d307deed,aGSALx,Grotto Salamander,Eurycea spelaea,https://doi.org/10.5066/F7M32TTP,https://www.sciencebase.gov/catalog/item/59f5e27ee4b063d5d307deed,['Matthew Rubino'],Steve Williams,2008,2016,2018-07
59f5ec1ee4b063d5d307e453,aGSSAx,Garden Slender Salamander,Batrachoseps major,https://doi.org/10.5066/F7JM28RQ,https://www.sciencebase.gov/catalog/item/59f5ec1ee4b063d5d307e453,['Ken Boykin'],Jeff Lonneker,2008,2016,2018-07
59f5ec17e4b063d5d307e419,aGUWAx,Gulf Coast Waterdog,Necturus beyeri,https://doi.org/10.5066/F7NG4PQJ,https://www.sciencebase.gov/catalog/item/59f5ec17e4b063d5d307e419,['Matthew Rubino'],Steve Williams,2008,2016,2018-07
59f5e1d6e4b063d5d307db29,aGYTRx,Gray Treefrog,Hyla versicolor,https://doi.org/10.5066/F7DN446R,https://www.sciencebase.gov/catalog/item/59f5e1d6e4b063d5d307db29,['Ken Boykin'],Jeff Lonneker,2008,2015,2018-07
59f5ebb8e4b063d5d307e0f7,aHELLa,Eastern Hellbender,Cryptobranchus alleganiensis alleganiensis,https://doi.org/10.5066/F7BR8R7K,https://www.sciencebase.gov/catalog/item/59f5ebb8e4b063d5d307e0f7,['Nathan Tarr'],Matt Rubino,2008,2013,2018-07
59f5ec39e4b063d5d307e51f,aHELLb,Ozark Hellbender,Cryptobranchus alleganiensis bishopi,https://doi.org/10.5066/F7XP7406,https://www.sciencebase.gov/catalog/item/59f5ec39e4b063d5d307e51f,['Nathan Tarr'],Matt Rubino,2008,2013,2018-07
59f5e253e4b063d5d307ddf7,aHELLx,Hellbender,Cryptobranchus alleganiensis,https://doi.org/10.5066/F7V69HM4,https://www.sciencebase.gov/catalog/item/59f5e253e4b063d5d307ddf7,['Nathan Tarr'],Matt Rubino,2008,2013,2018-07
59f5e242e4b063d5d307dd8b,aHHSSx,Hell Hollow Slender Salamander,Batrachoseps diabolicus,https://doi.org/10.5066/F7HQ3Z1P,https://www.sciencebase.gov/catalog/item/59f5e242e4b063d5d307dd8b,['Ken Boykin'],Jeff Lonneker,2008,2016,2018-07
59f5ec01e4b063d5d307e34d,aHOTOx,Houston Toad,Anaxyrus houstonensis,https://doi.org/10.5066/F7M044F6,https://www.sciencebase.gov/catalog/item/59f5ec01e4b063d5d307e34d,['Thomas Laxson'],Jeff Lonneker,2008,2014,2018-07
59f5ebc5e4b063d5d307e14b,aHUSPx,Hurter's Spadefoot,Scaphiopus hurterii,https://doi.org/10.5066/F7DZ07CT,https://www.sciencebase.gov/catalog/item/59f5ebc5e4b063d5d307e14b,['Ken Boykin'],Jeff Lonneker,2008,2016,2018-07
59f5ebece4b063d5d307e28b,aIGSAx,Idaho Giant Salamander,Dicamptodon aterrimus,https://doi.org/10.5066/F7MK6BVP,https://www.sciencebase.gov/catalog/item/59f5ebece4b063d5d307e28b,['Ken Boykin'],Steve Williams,2008,2016,2018-07
59f5e22ae4b063d5d307dcff,aILGRx,Illinois Chorus Frog,Pseudacris illinoensis,https://doi.org/10.5066/F7XP73ZB,https://www.sciencebase.gov/catalog/item/59f5e22ae4b063d5d307dcff,['Ken Boykin'],Jeff Lonneker,2008,2015,2018-07
59f5e265e4b063d5d307de65,aIMSAx,Imitator Salamander,Desmognathus imitator,https://doi.org/10.5066/F7VM4B98,https://www.sciencebase.gov/catalog/item/59f5e265e4b063d5d307de65,['Adam Radel'],Jeff Lonneker,2008,2013,2018-07
59f5eba2e4b063d5d307e033,aINSAx,Inyo Mountains Salamander,Batrachoseps campi,https://doi.org/10.5066/F7JD4VXP,https://www.sciencebase.gov/catalog/item/59f5eba2e4b063d5d307e033,['Ken Boykin'],Jeff Lonneker,2008,2016,2018-07
